"","X.7","X.6","X.5","X.4","X.3","X.2","X.1","X","URN","Local.authority..code.","Local.authority..name.","Establishment.number","Establishment.name","Street","Locality","Address3","Town","County","Postcode","Type.of.establishment","Statutory.highest.age","Statutory.lowest.age","Boarders","Sixth.form","UKPRN","Phase.of.education","Gender","Religious.character","Religious.ethos","Admissions.policy","Website.address","Telephone.number","Headteacher","Establishment.status","Reason.establishment.opened","Opening.date","Parliamentary.Constituency..code.","Parliamentary.Constituency..name.","Region","gg_address","lon","lat"
"1",1,1,1,1,1,1,1,1,100000,201,"City of London",3614,"Sir John Cass's Foundation Primary School","St James's Passage","Duke's Place","","London","","EC3A 5DE","Voluntary Aided School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Church of England","Does not apply","Not applicable","www.sirjohncassprimary.org",2072831147,"Mr Tim Wilson","Open","Not applicable","","E14000639","Cities of London and Westminster","London","Sir John Cass's Foundation Primary School, St James's Passage, EC3A 5DE",-0.077544,51.5134809
"2",2,2,2,2,2,2,2,2,100001,201,"City of London",6005,"City of London School for Girls","St Giles' Terrace","Barbican","","London","","EC2Y 8BB","Other Independent School",18,7,"No Boarders","Has a sixth form",10013279,"Not applicable","Girls","None","Church of England","Not collected","http://www.clsg.org.uk",2078475500,"Mrs Ena Harrop","Open","Not applicable","01/01/1920","E14000639","Cities of London and Westminster","London","City of London School for Girls, St Giles' Terrace, EC2Y 8BB",-0.0943486,51.5191688
"3",3,3,3,3,3,3,3,3,100002,201,"City of London",6006,"St Paul's Cathedral School","2 New Change","","","London","","EC4M 9AD","Other Independent School",13,4,"Boarding School","Does not have a sixth form",10018890,"Not applicable","Mixed","Church of England","Christian","Not collected","http://www.stpauls.co.uk/school/school.htm",2072485156,"Mr Neil Chippington","Open","Not applicable","01/01/1939","E14000639","Cities of London and Westminster","London","St Paul's Cathedral School, 2 New Change, EC4M 9AD",-0.0968205,51.5138591
"4",4,4,4,4,4,4,4,4,100003,201,"City of London",6007,"City of London School","Queen Victoria Street","","","London","","EC4V 3AL","Other Independent School",18,10,"No Boarders","Has a sixth form",10008165,"Not applicable","Boys","None","None","Not collected","http://www.clsb.org/",2074890291,"Ms Sarah Fletcher","Open","Not applicable","01/01/1919","E14000639","Cities of London and Westminster","London","City of London School, Queen Victoria Street, EC4V 3AL",-0.0986223,51.5118224
"5",5,5,5,5,5,5,5,5,100005,202,"Camden",1048,"Thomas Coram Centre","49 Mecklenburgh Square","","","London","","WC1N 2NY","LA Nursery School",5,3,"No Boarders","Not applicable",NA,"Nursery","Mixed","Does not apply","Does not apply","Not applicable","http://www.thomascoram.camden.sch.uk/",2075200385,"Ms Perina Holness","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Thomas Coram Centre, 49 Mecklenburgh Square, WC1N 2NY",-0.1206182,51.5254289
"6",6,6,6,6,6,6,6,6,100006,202,"Camden",1100,"CCfL Key Stage 4 PRU","Agincourt Road","","","London","","NW3 2NY","Pupil Referral Unit",16,14,"No Boarders","Not applicable",10016665,"Not applicable","Mixed","Does not apply","Does not apply","Not applicable","http://ccfl.camden.sch.uk",2079748906,"Ms Elizabeth Rattue","Open","Not applicable","01/09/1999","E14000750","Holborn and St Pancras","London","CCfL Key Stage 4 PRU, Agincourt Road, NW3 2NY",-0.1601399,51.5538596
"7",7,7,7,7,7,7,7,7,100007,202,"Camden",1101,"Camden Primary Pupil Referral Unit","Robson House,","74 Stanhope Street","","London","","NW1 3EX","Pupil Referral Unit",11,5,"No Boarders","Not applicable",NA,"Not applicable","Mixed","Does not apply","Does not apply","Not applicable","http://www.robsonhouse.org.uk/main/",2037720370,"Mr Andrew Herbert","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Camden Primary Pupil Referral Unit, Robson House,, NW1 3EX",-0.140574,51.5278925
"8",8,8,8,8,8,8,8,8,100008,202,"Camden",2019,"Argyle Primary School","Tonbridge Street","","","London","","WC1H 9EG","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","http://www.argyle.camden.sch.uk/",2078374590,"Ms Jemima Wade","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Argyle Primary School, Tonbridge Street, WC1H 9EG",-0.1242443,51.5286343
"9",9,9,9,9,9,9,9,9,100009,202,"Camden",2036,"Beckford Primary School","Dornfell Street","West Hampstead","","London","","NW6 1QL","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","http://www.beckford.camden.sch.uk/",2074358646,"Ms S Smith","Open","Not applicable","","E14000727","Hampstead and Kilburn","London","Beckford Primary School, Dornfell Street, NW6 1QL",-0.199566,51.5508545
"10",10,10,10,10,10,10,10,10,100010,202,"Camden",2065,"Brecknock Primary School","Cliff Villas","","","London","","NW1 9AL","Community School",11,2,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","http://www.brecknock.camden.sch.uk/",2074856334,"Ms Marianne Porter","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Brecknock Primary School, Cliff Villas, NW1 9AL",-0.1277206,51.5472145
